ARTIST,TITLE,
Tammy Wynette,Stand by Your Man,
George Jones,He Stopped Loving Her Today,
Patsy Cline,Crazy,
Johnny Cash,Ring of Fire,
Hank Williams,Your Cheatin' Heart,
Garth Brooks,Friends in Low Places,
Patsy Cline,I Fall to Pieces,
Glen Campbell,Galveston,
Charlie Rich,Behind Closed Doors,
Waylon Jennings & Willie Nelson,Mamas Don't Let Your Babies Grow Up to Be Cowboys,
Bill Monroe,Blue Moon of Kentucky,
George Strait,Amarillo By Morning,
Loretta Lynn,Coal Miner's Daughter,
Garth Brooks,The Dance,
Randy Travis,"Forever And Ever, Amen",
Dolly Parton,I Will Always Love You,
Conway Twitty,Hello Darlin',
John Denver,"Take Me Home, Country Roads",
Hank Williams,"Hey, Good Lookin'",
"Dan Tyminski, Among Others",Man of Constant Sorrow,
Merle Haggard,Okie From Muskogee,
Dixie Chicks,Wide Open Spaces,
Willie Nelson,Blue Eyes Crying in the Rain,
George Strait,The Chair,
Johnny Cash,Folsom Prison Blues,
Kenny Rogers,The Gambler,
Reba McEntire,Fancy,
Alan Jackson,Where Were You (When the World Stopped Turning),
Hank Williams,I'm So Lonesome I Could Cry,
Lee Ann Womack,I Hope You Dance,
Johnny Cash,I Walk the Line,
Glen Campbell,Rhinestone Cowboy,
Willie Nelson,Always on My Mind,
Jeannie C. Riley,Harper Valley Pta,
Tammy Wynette,D-I-V-O-R-C-E,
Carter Family or Nitty Gritty Dirt Band,Will the Circle Be Unbroken,
Roger Miller,King of the Road,
Faith Hill,Breathe,
Eddy Arnold,Make the World Go Away,
Faron Young,Hello Walls,
Patsy Cline,Sweet Dreams (Of You),
Marty Robbins,El Paso,
Tanya Tucker,Delta Dawn,
Vince Gill,When I Call Your Name,
Dwight Yoakam,"Guitars, Cadillacs",
The Eagles,Desperado,
Loretta Lynn,Don't Come Home A' Drinkin' (With Lovin' On Your Mind),
Brooks & Dunn,Boot Scootin' Boogie [Club Mix],
Ray Charles,I Can't Stop Loving You,
Martina McBride,Independence Day,
Kitty Wells,It Wasn't God Who Made Honky Tonk Angels,
Randy Travis,On the Other Hand,
Ernest Tubb,Walking the Floor Over You,
Dolly Parton,Coat of Many Colors,
Buck Owens,Act Naturally,
The Judds,Mama He's Crazy,
Willie Nelson,"If You've Got the Money, I've Got the Time",
Charley Pride,Kiss an Angel Good Mornin',
"Hank Williams, Jr.",Family Tradition,
Vince Gill,Go Rest High on That Mountain,
Hank Williams,Lovesick Blues,
Alan Jackson,Don't Rock the Jukebox,
Patti Page,Tennessee Waltz,
Alison Krauss,When You Say Nothing at All,
Lee Greenwood,God Bless the Usa,
Porter Wagoner,"Green, Green Grass of Home",
Tim McGraw & Faith Hill,It's Your Love,
Webb Pierce,There Stands the Glass,
The Charlie Daniels Band,The Devil Went Down to Georgia,
Vern Gosdin,Chiseled in Stone,
Patty Loveless,Don't Toss Us Away,
Johnny Cash,A Boy Named Sue,
Jimmie Davis,You Are My Sunshine,
The Statler Brothers,Flowers on the Wall,
Deana Carter,Strawberry Wine,
Waylon Jennings & Willie Nelson,Good Hearted Woman,
Shania Twain,You're Still the One,
Alabama,My Home's in Alabama,
Reba Mcentire,Is There Life Out There,
Trisha Yearwood,She's in Love With the Boy,
Ronnie Milsap,Smoky Mountain Rain,
Toby Keith,Should've Been a Cowboy,
Lynn Anderson,Rose Garden,
Tim McGraw,Please Remember Me,
LeAnn Rimes,Blue,
Freddy Fender,Before the Next Teardrop Falls,
Mary Chapin Carpenter,Passionate Kisses,
Gene Autry,Have I Told You Lately That I Love You,
Travis Tritt,Here's a Quarter (Call Someone Who Cares),
Jim Reeves,He'll Have to Go,
Rosanne Cash,Seven Year Ache,
Johnny Cash or Kris Kristofferson,Sunday Mornin' Comin' Down,
Johnny Paycheck,Take This Job And Shove It,
Lorrie Morgan,Something in Red,
Flatt & Scruggs,Foggy Mountain Breakdown,
Doug Stone,I'D Be Better Off (In a Pine Box),
Lonestar,Amazed,
Bob Wills or Patsy Cline,Faded Love,
Gene Autry,Back in the Saddle Again,
Clint Black,Killin' Time,