ARTIST,TITLE
The Rolling Stones,Satisfaction
Aretha Franklin,Respect
Led Zeppelin,Stairway to Heaven
Bob Dylan,Like a Rolling Stone
Bruce Springsteen,Born to Run
The Eagles,Hotel California
The Doors,Light My Fire
The Beach Boys,Good Vibrations
The Beatles,Hey Jude
John Lennon,Imagine
The Kingsmen,Louie Louie
The Beatles,Yesterday
The Who,My Generation
Marvin Gaye,What's Going On
Chuck Berry,Johnny B. Goode
Derek & The Dominos,Layla
The Who,Won't Get Fooled Again
Elvis Presley,Jailhouse Rock
Don McLean,American Pie
The Beatles,A Day in the Life
James Brown,I Got You (I Feel Good)
Stevie Wonder,Superstition
The Beatles,I Want to Hold Your Hand
The Rolling Stones,Brown Sugar
Jimi Hendrix,Purple Haze
The Rolling Stones,Sympathy for the Devil
Queen,Bohemian Rhapsody
The Kinks,You Really Got Me
Roy Orbison,"Oh, Pretty Woman"
Simon & Garfunkel,Bridge Over Troubled Water
Elvis Presley,Hound Dog
The Beatles,Let It Be
Otis Redding,(Sittin' On) the Dock of the Bay
Jimi Hendrix,All Along the Watchtower
Aerosmith,Walk This Way
The Temptations,My Girl
Bill Haley and His Comets,Rock Around the Clock
Marvin Gaye,I Heard It Through the Grapevine
Creedence Clearwater Revival,Proud Mary
Steppenwolf,Born to Be Wild
Nirvana,Smells Like Teen Spirit
The Police,Every Breath You Take
Ray Charles,What'd I Say (Parts 1 And 2)
Lynyrd Skynyrd,Free Bird
Buddy Holly,That'll Be the Day
Led Zeppelin,Whole Lotta Love
Aerosmith,Dream On
The Mamas & the Papas,California Dreamin'
Van Morrison,Brown Eyed Girl
The Troggs,Wild Thing
"Crosby, Stills & Nash",Suite: Judy Blue Eyes
Michael Jackson,Beat It
Jerry Lee Lewis,Great Balls of Fire
Bee Gees,Stayin' Alive
Buffalo Springfield,"For What It's Worth (Stop, Hey What's That Sound)"
Bob Dylan,Blowin' in the Wind
The Beatles,Twist And Shout
Billy Joel,Piano Man
The Beatles,She Loves You
David Bowie,Space Oddity
The Beatles,Strawberry Fields Forever
Led Zeppelin,Kashmir
Patsy Cline,Crazy
The Clash,London Calling
The Rolling Stones,Jumpin' Jack Flash
Led Zeppelin,Rock And Roll
Al Green,Let's Stay Together
Elvis Presley,All Shook Up
Rod Stewart,Maggie May
Elton John,Your Song
Elvis Presley,Heartbreak Hotel
The Beach Boys,God Only Knows
Chubby Checker,The Twist
Little Richard,Good Golly Miss Molly
Cream,Sunshine of Your Love
The Beach Boys,California Girls
Eddie Cochran,Summertime Blues
Carl Perkins,Blue Suede Shoes
The Beatles,A Hard Day's Night
James Taylor,Fire And Rain
Van Morrison with Them,Gloria
Marvin Gaye,Sexual Healing
The Rolling Stones,Start Me Up
Boston,More Than a Feeling
The Police,Roxanne
Queen,We Are the Champions
Bob Dylan,Tangled Up in Blue
Jefferson Airplane,Somebody to Love
Ben E. King,Stand by Me
Jerry Lee Lewis,Whole Lotta Shakin' Going On
AC/DC,You Shook Me All Night Long
Prince,When Doves Cry
Wilson Pickett,In the Midnight Hour
The Spencer Davis Group,Gimme Some Lovin'
Van Halen,Jump
Bruce Springsteen,Thunder Road
Bob Marley & The Wailers,No Woman No Cry
Ritchie Valens,La Bamba
Carpenters,We've Only Just Begun
The Temptations,Papa Was a Rollin' Stone